"sitecode","comid_orig","VPU","comid_checkdist","near_dist_m","comid_checknwis","nhdplus_id","comid_flineindex","offset","comid_orig_areakm2","nwis_areakm2","comid_manual","manual_areakm2","manual_area_src"
"nwis_01540500",2604975,"02",2604993,134.219914890893,2604977,2604977,2604993,136.559227411502,20.0664,29059.6878,"2604993",NA,NA
"nwis_03298200",10264174,"05",10264174,23.4624402700334,10264164,10264192,10264174,23.6668545258765,8.6796,551.66787,"10264164",NA,NA
"nwis_06805500",17416036,"10L",17416032,198.289841616919,17416032,17416032,17416032,201.863550060837,12.0249,221107.4463,"17416032",NA,NA
"nwis_11126000",17611567,"18",17611427,129.644451405068,17611427,17610189,17610189,129.862999458457,0.4797,1092.97578,"17610189",NA,NA
"nwis_12101100",23981225,"17",23981225,431.040458698789,23982435,23982435,23981225,435.081261024024,1239.9885,NA,"23982435",0.49,"Appling2018_StreamStats"
"nwis_13206400",23398795,"17",23398795,270.147659651717,23398795,23400535,23398795,271.994691483131,7229.4327,35.8454616,"23400535",NA,NA
"nwis_14202650",23805858,"17",23805858,1.11247476563059,23805138,23805136,23805136,50.3612987910106,19.7775,62.418759,"23805136",NA,NA
"MD_POBR",11688418,"02",11688418,262.866555803755,NA,NA,11688418,280.309997163494,4.3164,NA,"NA",0.31,"NWIS_01583570"
"NH_BDC",5845162,"01",5845162,222.992561402984,NA,NA,5845162,223.989155066216,404.7084,NA,"NA",0.29,"StreamStats"
"NH_HBF",6729679,"01",6729679,512.204460218832,NA,NA,6729679,512.871473470594,1.4229,NA,"NA",0.4,"LocalUser_LTER"
"NH_MCQ",6745678,"01",6745678,247.861042506399,NA,NA,6745678,258.803251650516,7970.8005,NA,"NA",0.44,"LocalUser_UNHWQAL"
